waktu;jumlah
01/01/2017;193788
01/02/2017;189438
01/03/2017;221620
01/04/2017;216704
01/05/2017;210595
01/06/2017;162333
01/07/2017;285733
01/08/2017;286365
01/09/2017;224855
01/10/2017;221062
01/11/2017;224079
01/12/2017;221483
01/01/2018;210983
01/02/2018;203418
01/03/2018;244612
01/04/2018;223968
01/05/2018;190336
01/06/2018;182943
01/07/2018;321631
01/08/2018;308447
01/09/2018;250180
01/10/2018;244913
01/11/2018;206905
01/12/2018;225076
01/01/2019;208618
01/02/2019;195961
01/03/2019;219500
01/04/2019;198209
01/05/2019;157367
01/06/2019;191550
01/07/2019;268258
01/08/2019;253176
01/09/2019;212912
01/10/2019;189416
01/11/2019;184521
01/12/2019;186810
01/01/2020;17023
01/02/2020;15623
01/03/2020;5279
01/04/2020;0
01/05/2020;0
01/06/2020;163
01/07/2020;356
01/08/2020;378
01/09/2020;181
01/10/2020;321
01/11/2020;342
01/12/2020;300
01/01/2021;206
01/02/2021;245
01/03/2021;564
01/04/2021;603
01/05/2021;769
01/06/2021;567
01/07/2021;11
01/08/2021;0
01/09/2021;11
01/10/2021;336
01/11/2021;1477
01/12/2021;1410
01/01/2022;14089
01/02/2022;15406
01/03/2022;23320
01/04/2022;36061
01/05/2022;57844
01/06/2022;85587
01/07/2022;119197
01/08/2022;121438
01/09/2022;111139
01/10/2022;112588
01/11/2022;113958
01/12/2022;124555
